Longitude,Latitude,Pixel,Scan
19.9058814,-5.89772606,3400,1200
19.8700214,-5.89790776,3500,1200
19.8341616,-5.89810037,3600,1200
19.7983015,-5.89830391,3700,1200
19.7624409,-5.89851836,3800,1200
19.7265792,-5.89874374,3900,1200
19.6910747,-5.89897763,3999,1200
21.127938,-5.88272612,0,1300
21.0918287,-5.88253455,100,1300
21.0557336,-5.88235413,200,1300
21.0196522,-5.88218484,300,1300
20.9835842,-5.88202667,400,1300
20.947529,-5.88187959,500,1300
20.9114864,-5.88174361,600,1300
20.8754558,-5.88161871,700,1300
20.8394368,-5.88150486,800,1300
20.8034291,-5.88140207,900,1300
20.7674322,-5.88131032,1000,1300
20.7314456,-5.8812296,1100,1300
20.6954691,-5.88115991,1200,1300
20.6595022,-5.88110122,1300,1300
20.6235444,-5.88105353,1400,1300
20.5875953,-5.88101683,1500,1300
20.5516546,-5.88099112,1600,1300
20.5157218,-5.88097639,1700,1300
20.4797965,-5.88097262,1800,1300
20.4438783,-5.88097981,1900,1300
20.4079669,-5.88099797,2000,1300
20.3720617,-5.88102707,2100,1300
20.3361623,-5.88106711,2200,1300
20.3002685,-5.8811181,2300,1300
20.2643797,-5.88118002,2400,1300
20.2284956,-5.88125288,2500,1300
20.1926157,-5.88133666,2600,1300
20.1567396,-5.88143138,2700,1300
20.120867,-5.88153701,2800,1300
20.0849974,-5.88165357,2900,1300
20.0491304,-5.88178105,3000,1300
20.0132657,-5.88191944,3100,1300
19.9774027,-5.88206876,3200,1300
19.9415412,-5.882229,3300,1300
19.9056806,-5.88240016,3400,1300
19.8698207,-5.88258224,3500,1300
19.8339609,-5.88277524,3600,1300
19.7981009,-5.88297917,3700,1300
19.7622403,-5.88319403,3800,1300
19.7263787,-5.88341982,3900,1300
19.6908742,-5.88365413,3999,1300
21.1277159,-5.86738991,0,1400
21.0916068,-5.86719843,100,1400
21.0555119,-5.86701811,200,1400
21.0194307,-5.86684892,300,1400
20.9833629,-5.86669086,400,1400
20.9473079,-5.8665439,500,1400
20.9112654,-5.86640804,600,1400
20.875235,-5.86628326,700,1400
20.8392162,-5.86616956,800,1400
20.8032086,-5.86606691,900,1400
20.7672119,-5.86597531,1000,1400
20.7312255,-5.86589475,1100,1400
20.6952492,-5.86582521,1200,1400
20.6592824,-5.86576669,1300,1400
20.6233247,-5.86571918,1400,1400
20.5873758,-5.86568266,1500,1400
20.5514352,-5.86565714,1600,1400
20.5155026,-5.8656426,1700,1400
20.4795774,-5.86563903,1800,1400
20.4436594,-5.86564643,1900,1400
20.407748,-5.8656648,2000,1400
20.3718429,-5.86569412,2100,1400
20.3359437,-5.8657344,2200,1400
20.30005,-5.86578562,2300,1400
20.2641613,-5.86584778,2400,1400
20.2282772,-5.86592088,2500,1400
20.1923974,-5.86600492,2600,1400
20.1565215,-5.86609989,2700,1400
20.1206489,-5.86620579,2800,1400
20.0847794,-5.86632262,2900,1400
20.0489125,-5.86645038,3000,1400
20.0130479,-5.86658907,3100,1400
19.977185,-5.86673868,3200,1400
19.9413235,-5.86689921,3300,1400
19.905463,-5.86707068,3400,1400
19.8696031,-5.86725307,3500,1400
19.8337434,-5.8674464,3600,1400
19.7978835,-5.86765065,3700,1400
19.7620229,-5.86786584,3800,1400
19.7261613,-5.86809197,3900,1400
19.6906569,-5.86832662,3999,1400
21.1275043,-5.8520588,0,1500
21.0913954,-5.85186744,100,1500
21.0553006,-5.85168725,200,1500
21.0192196,-5.8515182,300,1500
20.9831519,-5.85136027,400,1500
20.9470971,-5.85121347,500,1500
20.9110548,-5.85107776,600,1500
20.8750245,-5.85095315,700,1500
20.8390059,-5.85083961,800,1500
20.8029985,-5.85073714,900,1500
20.7670019,-5.85064572,1000,1500
20.7310157,-5.85056534,1100,1500
20.6950394,-5.850496,1200,1500
20.6590727,-5.85043768,1300,1500
20.6231152,-5.85039037,1400,1500
20.5871664,-5.85035407,1500,1500
20.551226,-5.85032877,1600,1500
20.5152934,-5.85031446,1700,1500
20.4793684,-5.85031112,1800,1500
20.4434504,-5.85031877,1900,1500
20.4075392,-5.85033738,2000,1500
20.3716342,-5.85036696,2100,1500
20.3357351,-5.85040749,2200,1500
20.2998414,-5.85045898,2300,1500
20.2639528,-5.85052142,2400,1500
20.2280689,-5.8505948,2500,1500
20.1921891,-5.85067912,2600,1500
20.1563133,-5.85077439,2700,1500
20.1204408,-5.85088059,2800,1500
20.0845714,-5.85099772,2900,1500
20.0487045,-5.85112579,3000,1500
20.0128399,-5.8512648,3100,1500
19.9769771,-5.85141473,3200,1500
19.9411157,-5.8515756,3300,1500
19.9052552,-5.85174741,3400,1500
19.8693954,-5.85193015,3500,1500
19.8335357,-5.85212382,3600,1500
19.7976758,-5.85232844,3700,1500
19.7618153,-5.85254399,3800,1500
19.7259537,-5.8527705,3900,1500
19.6904493,-5.85300552,3999,1500
21.1272885,-5.83672531,0,1600
21.0911798,-5.83653407,100,1600
21.0550852,-5.83635399,200,1600
21.0190044,-5.83618506,300,1600
20.9829369,-5.83602727,400,1600
20.9468822,-5.8358806,500,1600
20.9108401,-5.83574503,600,1600
20.87481,-5.83562057,700,1600
20.8387915,-5.83550719,800,1600
20.8027842,-5.83540488,900,1600
20.7667878,-5.83531363,1000,1600
20.7308017,-5.83523343,1100,1600
20.6948256,-5.83516427,1200,1600
20.658859,-5.83510614,1300,1600
20.6229016,-5.83505903,1400,1600
20.586953,-5.83502293,1500,1600
20.5510126,-5.83499783,1600,1600
20.5150802,-5.83498373,1700,1600
20.4791553,-5.83498062,1800,1600
20.4432375,-5.8349885,1900,1600
20.4073263,-5.83500734,2000,1600
20.3714214,-5.83503716,2100,1600
20.3355224,-5.83507794,2200,1600
20.2996289,-5.83512968,2300,1600
20.2637403,-5.83519238,2400,1600
20.2278565,-5.83526603,2500,1600
20.1919768,-5.83535063,2600,1600
20.156101,-5.83544617,2700,1600
20.1202287,-5.83555266,2800,1600
